encoder,quality,img_id,bytes,wall_s,user_s,sys_s,max_rss_kb
avif,36,img059,94892,0.760,1.280,0.130,262792
avif,44,img059,126310,0.720,1.430,0.140,273668
jxl,30,img059,240015,0.720,1.080,0.350,833820
jxl,50,img059,313937,0.740,1.010,0.320,835524
jxl,70,img059,483364,0.710,1.060,0.360,839280
jxl,90,img059,1503578,0.740,1.160,0.320,870360
webp,60,img060,693058,2.430,2.120,0.060,101504
webp,75,img060,842094,2.190,2.200,0.040,101504
webp,90,img060,2040796,2.530,2.530,0.050,101504
avif,28,img060,201744,0.760,1.400,0.120,263856
avif,36,img060,266885,0.760,1.580,0.130,267444
avif,44,img060,359084,0.850,1.890,0.130,275760
jxl,30,img060,464103,0.680,1.010,0.280,776592
jxl,50,img060,596418,0.720,0.990,0.290,779852
jxl,70,img060,816133,0.680,1.010,0.290,786240
jxl,90,img060,1926001,0.740,1.140,0.310,817012
webp,60,img061,381408,1.660,1.640,0.050,83072
webp,75,img061,480378,1.670,1.670,0.050,82944
webp,90,img061,1110524,1.820,1.820,0.050,83072
avif,28,img061,82846,0.520,0.810,0.100,250520
avif,36,img061,159385,0.800,1.550,0.170,254864
avif,44,img061,317354,0.630,1.110,0.110,260120
jxl,30,img061,206228,0.540,0.800,0.260,664104
jxl,50,img061,291920,0.580,0.810,0.250,666920
jxl,70,img061,442521,0.560,0.860,0.250,671060
jxl,90,img061,1032161,0.570,0.860,0.280,684536
webp,60,img062,276392,2.190,2.130,0.040,106880
webp,75,img062,357746,2.150,2.160,0.050,106880
webp,90,img062,1019968,2.410,2.430,0.040,107008
avif,28,img062,74979,0.600,0.890,0.140,312560
